fid,Art,Anzahl Individuen,Bemerkung,Datum,Lat N,Lon E,Uuid,Status
"1",Saatkrähe,"1",,30.03.2025,345714.576653091,109482.927559662,e371f7b4-ff15-4676-a57c-fad6f155db87,Besetzt
"2",Saatkrähe,"1",,30.03.2025,345713.938453853,109481.869789731,03d43148-5df0-4ea4-89af-9628b06cdc49,Besetzt
"3",Saatkrähe,"1",,30.03.2025,345716.010795729,109473.151329828,c52f2af9-d859-4abd-bf89-7a3851d71ef0,Besetzt
"4",Saatkrähe,"1",,30.03.2025,345709.663346384,109464.697379766,cbf6dbc6-86cd-4d43-a8d4-bcf6c5530fb2,Besetzt
"5",Saatkrähe,"1",,30.03.2025,345714.785328676,109463.660421929,4d3ab1c6-c4c6-4dea-bbf6-73553d69a542,Besetzt
"6",Saatkrähe,"7",,30.03.2025,345711.977787535,109457.434952902,e227494e-74e3-4856-a430-ae51b96209ea,Besetzt
"7",Saatkrähe,"1",,30.03.2025,345709.187668932,109447.813613734,01784e0c-873b-4a7e-bf88-98736fcb6449,Besetzt
"8",Saatkrähe,"1",,30.03.2025,345706.869177959,109444.088974931,f6078865-e0c6-43a0-9db5-867cb6558ddd,Besetzt
"9",Saatkrähe,"3",,30.03.2025,345700.608317449,109434.86616061,0337dd84-7321-4298-ac5e-4e04ca54186d,Besetzt
"10",Saatkrähe,"1",,30.03.2025,345720.104773012,109451.329535734,f7527669-fbfa-4361-9613-6827579dcf34,Besetzt
"11",Saatkrähe,"1",,30.03.2025,346015.570253702,109526.948177819,991f26a1-3797-483d-b427-e83e842848d2,Besetzt
"12",Saatkrähe,"1",,30.03.2025,346015.674806053,109519.515751992,cea1c9e3-9962-40ef-b9d4-6838a594e5aa,Besetzt
"13",Saatkrähe,"3",,30.03.2025,346023.847916724,109520.967478168,3a184366-e4da-4313-abd2-0053f3e8dc05,Besetzt
"15",Saatkrähe,"3",,30.03.2025,346032.567564317,109506.504476202,8f2c9f81-b264-4d5a-a9b8-1dc6f45745e0,Besetzt
"16",Saatkrähe,"1",,30.03.2025,346028.352133765,109490.46222613,b7b09aa7-0862-4740-8164-d5b3e55f2712,Besetzt
"19",Saatkrähe,"2",,30.03.2025,346240.289342721,109801.630818968,a701cbe5-9587-44d4-a057-3b674087011a,Besetzt
"20",Saatkrähe,"1",,30.03.2025,346244.957359478,109821.146573874,db33ee4b-2956-4e2b-ba76-e85672dff068,Besetzt
"21",Saatkrähe,"3",,30.03.2025,346249.190410993,109823.647118229,e0b0a9a3-1fdb-4ccb-a16f-bc652d043dc3,Besetzt
"22",Saatkrähe,"1",,30.03.2025,346285.523102934,109841.022396277,c25be723-b3d8-4e20-a369-29d618f15548,Besetzt
"23",Saatkrähe,"2",,30.03.2025,346235.7718617,109837.15594993,39e50714-d9d9-4d0f-81e5-0fc4f7ed30d4,Besetzt
"24",Saatkrähe,"3",,30.03.2025,346216.548967035,109828.174037185,5d240ca9-00f2-4bd0-9324-23f34277276d,Besetzt
"26",Saatkrähe,"1",,30.03.2025,348904.705447724,109093.365454153,fe7639c7-9bab-4d08-9e64-904f45d12e2c,Besetzt
"27",Saatkrähe,"1",,30.03.2025,348907.200472024,109096.316063045,75d4d536-4b90-453f-a4ba-2d8862e68c09,Besetzt
"28",Saatkrähe,"1",,30.03.2025,348908.513427739,109102.118324315,2507b6cc-fd1c-4860-ad6e-1b002e32e815,Besetzt
"29",Saatkrähe,"3",,30.03.2025,348920.552974452,109095.103740444,82ddfff8-8931-4428-a871-004702d5d013,Besetzt
"30",Saatkrähe,"1",,30.03.2025,348922.379849668,109092.042119544,edb27c39-5962-4f4c-af04-f013206e79f6,Besetzt
"31",Saatkrähe,"1",,30.03.2025,348916.901659495,109090.545320914,a2bbf1d6-79f9-4f29-8e3c-fd6ce019e23d,Besetzt
"32",Saatkrähe,"1",,30.03.2025,348916.991905931,109086.2072496,6172d05c-5eeb-48df-8277-6901669dea40,Besetzt
